Identifier,Place of Publication,Date of Publication,Publisher,Title,Author
34361,Санктпетербургъ,1889,,Кіево-Софійскій Соборъ. Изслѣдованіе древней мозаической и фресковой живописи ... Съ 14 рисунками. (Оттискъ изъ „Записокъ Импер. Русск. Археол. Общ.” т. iv.) [With manuscript addenda in English.],"AINALOV, Dmitry Vlas'evich - and REDIN (Egor Kuz'mich)"
34463,London,1872,J. Maxwell & Co.,"Robert Ainsleigh. By the author of 'Lady Audley's Secret,' etc. [i.e. Mary E. Braddon]","AINSLEIGH, Robert."
34538,Paisley,1892,Alexander Gardner,"A Pilgrimage to the Land of Burns, and Poems ... With a memoir of the author, by Thomas C. Latto. [With portraits.]","AINSLIE, Hew."
34785,London,1860,J. Maxwell & Co.,The illustrated universal gazetteer,
34793,London,1872,C. Griffin & Co.,"Wanderings in every Clime; or, voyages, travels, and adventures all round the world ... A sequel to “The Earth delineated with pen and pencil” ... With ... illustrations, etc","AINSWORTH, William Francis."
34810,London,1872,Tinsley Bros.,"Boscobel; or, the Royal Oak. A tale of the year 1651 ... Illustrated by J. H. Rimbault","Ainsworth, William Harrison"
34826,London,1861,Chapman & Hall,The Constable of the Tower: an historical romance ... Illustrated by John Gilbert,"Ainsworth, William Harrison"
34852,London,1874,G. Routledge & Sons,"[The Flitch of Bacon: or, the Custom of Dunmow. A tale of English home. With illustrations by John Gilbert.]","Ainsworth, William Harrison"
34914,London,1858,G. Routledge & Co.,Mervyn Clitheroe ... Illustrated by Hablot K. Browne,"Ainsworth, William Harrison"
34952,London,1860,"Routledge, Warne & Routledge",Ovingdean Grange. A tale of the South Downs. Illustrated by Hablot K. Browne,"Ainsworth, William Harrison"
34967,London,1857,G. Routledge & Co.,[Rookwood ... The fourth edition ... with illustrations by George Cruikshank. [With a portrait.]],"Ainsworth, William Harrison"
34987,London,1857,G. Routledge & Co.,The Spendthrift: a tale ... With illustrations by Hablot K. Browne,"Ainsworth, William Harrison"
36171,Paris,1896,,L'Auvergne. Illustrations de A. Montader,"Ajalbert, Jean"
36231,London,1878,William Poole,Plimsoll's England. A satire. By Ajax. [In verse.],
36521,Edinburgh,1857,James Nichol,[The Poetical Works of Mark Akenside ... With a biographical sketch of the author (by Dr. Johnson).]: Collections,"Akenside, Mark"
36531,Napoli,1821,,[Hymn to the Naiads.] Alle Najadi. Inno alla Greca ... Recato in verso Italiano da T. J. Mathias,"AKENSIDE, Mark."
36721,London,1897,Bliss & Sands,"Triscombe Stone: a romance of the Quantock Hills, etc","AKERMAN, Portland Board - and HURST (Norman)"
38673,Ἐν Κερκυρᾳ,1891,,Κερκυραϊκα ἀπομνημονευματα. [Edited by I. Delotes.],"ALBANAS, Phriderikos."
38986,London,1827,William Marsh,"Scenes and Occurrences in Albany and Cafferland, South Africa. [By T. Phillips.]",
39670,London,1808,T. & R. Hughes,"Albert and Rosalie, or the Fire King. A grand melodrama, in three acts. [By F. F. Warton. In verse.]",
39775,Plymouth,1868,W. Cann,"The Prince Albert, a poem. [By Joseph Plimsoll.]: Appendix","Albert - Prince Consort of Victoria, Queen of Great Britain"
40021,London,1886,Macmillan & Co.,"The Cruise of Her Majesty's Ship “Bacchante,” 1879-1882. Compiled from the private journals, letters and note-books of Prince Albert Victor and Prince George of Wales, with additions by J. N. Dalton",
40627,Trento,1860,,Annali del principato ecclesiastico di Trento dal 1022 al 1540 compilati sui documenti da F. F. degli Alberti ... reintegrati ... da T. Gar,"ALBERTI, Francesco Felice degli."
40680,Amsterdam,1810,,"De Kaffers aan de zuidkust van Afrika, natuur en geschiedkundig beschreuen. [Translated from the German manuscript by Jan Konijnenburg.]","ALBERTI, Johann Christoph Ludwig."
40976,Heilbronn,1886,,Francisci Albertini Opusculum de mirabilibus novae urbis Romae. Herausgegeben von August Schmarsow,"ALBERTINI, Francesco degli."
41050,Torino,1880,,Alla Nuova Guinea: ciò che ho veduto e ciò che ho fatto. [With illustrations of birds by J. Gould.],"ALBERTIS, Luigi Maria d'."
41096,w Krakowie,1849,,Panowanie Henryka Walezyusza i Stefana Batorego krolów Polskich. Z rękopismów Albertrandego podług wydania Ż. Onacewicza. Z dołączeniem Pamiętników historyi Stefana Batorego dotyczących. [With the preface of Onacewicz.],"ALBERTRANDY, Jan Chrzciciel - Bishop of Zenopolis"
41097,w Krakowie,1860,,[Panowanie Henryka Walezyusza i Stefana Batorego krolów Polskich. Z rękopismów Albertrandego podług wydania Ż. Onacewicza. Z dołączeniem Pamiętników historyi Stefana Batorego dotyczących. [With the preface of Onacewicz.]],"ALBERTRANDY, Jan Chrzciciel - Bishop of Zenopolis"
41601,London,1724,J. Roberts,"Albion; or, the Court of Neptune. A masque. [By Thomas Cooke.]",
41623,London,1772,J. Wilkie,The Albion Princess: a pindaric ode. [By Robert Colvill.],
42862,London,1812,"James Carpenter, etc.","The Geographical and Historical Dictionary of America and the West Indies, containing an entire translation of the Spanish work of ... A. de Alcedo, with large additions ... by G. A. Thompson","ALCEDO, Antonio de."
42904,London,1873,"Smith, Elder & Co.",Alcestis. [A novel. By Blanche Warre Cornish.],
42911,London,1851,Richard Bentley,"Spiritual Alchemy; or, Trials turned to Gold. By the Author of “Hearts in Mortmain,” and “Cornelia” [i.e. Margaret Sandbach]",
43140,London,1835,Richard Bentley,Recollections of an Excursion to the Monasteries of Alcobaça & Batalha. By the author of Vathek [i.e. W. Beckford. With a portrait],
43252,London,1799,C. Dilly,"Poems, &c. &c. [Edited by Joanna Hughes.]","ALCOCK, Mary - Poetical Writer"
45172,Boston,1875,H. L. Shepard & Co.,"History of the United States Marine Corps ... From official reports and other documents, compiled by Captain R. S. Collum","ALDRICH, M. Almy."
45574,London,1867,Hurst & Blackett,"Alec's Bride. By the author of “St. Olave's” [i.e. Eliza Tabor, afterwards Stephenson], etc",
48378,London,1837,Henry Colburn,Narrative of a Voyage of Observation among the Colonies of Western Africa ... and of a campaign in Kaffir-Land ... in 1835 ... Illustrated with maps and plates by Major C. C. Michell,"Alexander, James Edward - Sir"
48384,London,1830,Henry Colburn & Richard Bentley,"Travels to the Seat of War in the East, through Russia and the Crimea, in 1829, etc. [With plates and a map.]","Alexander, James Edward - Sir|ALEXANDER, John Henry - Engineer"
48908,London,1841,J. R. Smith,"A Journey to Beresford Hall, the seat of Charles Cotton Esqre, the celebrated author and angler. [Preceded by a memoir of the author. The dedication signed: J. G.]","ALEXANDER, William - Assistant Keeper of Antiquities, British Museum"
48989,Edinburgh,1884,Privately issued by W. Paterson,"The Earl of Stirling's Register of Royal Letters relative to the affairs of Scotland and Nova Scotia from 1615 to 1635. Edited, with a biographical introduction, by the Rev. Charles Rogers","Stirling, William Alexander - Earl of"
49023,Edinburgh,1880,David Douglas,"[Johnny Gibb of Gushetneuk, in the parish of Pyketillim; with glimpses of the parish politics about A.D. 1843. [By W. Alexander. Reprinted from the 'Aberdeen Free Press.']]","ALEXANDER, William - of the Aberdeen Free Press"
49724,Cambridge,1872,Riverside Press,His Imperial Highness the Grand Duke Alexis in the United States of America during the winter of 1871-72. [By William W. Tucker. With a portrait.],
51061,Wien,1837,,Rückblicke auf Algier und dessen Eroberung ... im Jahre 1830. Von einem Offizier aus dem Gefolge des Marschall grafen Baurmont [i.e. Friedrich von Schwarzenberg]: Appendix,
51064,London,1863,Richard Bentley,Through Algeria. By the author of “Life in Tuscany” [i.e. Mabll Sharman Crawford]: Appendix,
51125,London,1820,Goyder,"Travels in Algeirs, Spain, &c. &c. With a faithful ... account of the Algerines, etc. [By Sophia Barnard.]: Appendix",
51466,Bombay,1884,,"Ali Baba, or the Forty Thieves. A burlesque extravaganza ... Adapted ... by ... E. A. P. Hobday, with ... new songs and music, selected and arranged by ... J. H. Leslie. [The libretto. With illustrations.]",
52264,Paris,1894,,Nos Africains.-La mission Crampel.-La mission Dybowski.-La mission Mizon.-La mission Monteil ... La seconde mission Mizon ... Ouvrage illustré,"ALIS, Harry - pseud. [i.e. Jules Hippolyte Percher.]"
52272,Agen,1887,,"Notice sur le château, les anciens seigneurs et la paroisse de Mauvezin, près Marmande ... Accompagnée de nombreux dessins, etc. [With an introduction by J. P. Tamizey de Larroque.]","ALIS, R. L."
52316,London,1883,W. Blackwood & Sons,"Alison. [A novel.] By the author of “Miss Molly,” etc. [i.e. Beatrice May Butt.]",
52347,Edinburgh,1808,Archibald Constable & Co.,"[A Sermon preached ... the day after the funeral of Sir William Forbes, of Pitsligo, Baronet.]","ALISON, Archibald - Prebendary of Sarum"
52370,Edinburgh,1848,W. Blackwood & Sons,"Atlas to accompany Alison's History of Europe. Constructed and arranged under the direction of Mr. A. K. Johnston, etc. [With supplement.]: History of Europe from the commencement of the French Revolution, etc","ALISON, Archibald - Sir, 1st Bart"
52372,York,1845,A. S. Barnes & Co.,"History of Europe from the commencement of the French Revolution in 1789, to the Restoration of the Bourbons ... Abridged from the last London edition ... by Edward S. Gould. Fourth edition","ALISON, Archibald - Sir, 1st Bart"
52772,Philadelphia,1877,J. B. Lippincott & Co.,All Wrong. A leaf from a drama. [A tale. By Annie M. Griffen.],
52859,London,1807,J. J. Stockdale,"All the Talents' Garland; or, a Few Rockets let off at a celebrated Ministry. [By James Sayers.] ... Second edition",
53231,Haarlem,1874,,"Geschiedenis en beschrijving van Haarlem, van de vroegste tijden tot op onze dagen, door F. Allan, onder medewerking van ... C. Ekama ... A. J. Enschedé .... H. Gerlings ... en C. J. Gonnet","ALLAN, Francis - Leeraar aan's Rijks Kweekschool voor Onderwijzers te Haarlem"
53348,Albany,1867,Joel Munsell,"Military Operations in Eastern Maine and Nova Scotia during the Revolution, chiefly compiled from the journals and letters of Colonel John Allan, with notes and a memoir of Col. John Allan. By Frederic Kidder. [With a map.]","ALLAN, John - of New York"
53627,Boston,1892,Houghton & Mifflin,The Army of Northern Virginia in 1862 ... With an introduction by John C. Ropes. [With maps.],"ALLAN, William - late Lieut.-Col., Second Corps, A.N.V"
53628,Philadelphia,1880,J. B. Lippincott & Co.,"History of the Campaign of Gen. T. J.-Stonewall-Jackson in the Shenandoah Valley of Virginia. From November 4, 1861, to June 17, 1862 ... With ... maps ... by Jed. Hotchkiss","ALLAN, William - late Lieut.-Col., Second Corps, A.N.V"
54811,Kjøbenhavn,1873,,"Breve fra danske Krigsmænd, skrevne til Hjemmet under Felttogene 1848, 1849, 1850. Samlede af C. F. Allen. Udgivne af Chr. Bruun","ALLEN, Carl Ferdinand."
54815,Haderslev,1860,,"Danskhedens Skjæbne i Slesvig, udarbeidet efter Prof. Allen's Værk “Det danske Sprogs Historie i Hertugdømmet Slesvig eller Sønderjylland” ved J. W. Marckmann ... Med et Forord af Prof. Allen og et Sprogkort","ALLEN, Carl Ferdinand."
54819,Copenhague,1878,,"Histoire de Danemark depuis les temps les plus reculés jusqu'à nos jours, avec une bibliographie et des tables généalogiques ... Ouvrage ... traduit d'après la septième édition danoise par E. Beauvois. Complété pour les neuf dernières années du règne de Frédéric VII","ALLEN, Carl Ferdinand."
54820,Kiel,1846,,"Geschichte des Königreiches Dänemark, mit steter Rücksicht auf die innere Entwickelung in Staat und Volk ... Übersetzt ... vermehrt und mit einem Vorwort begleitet von Dr. N. Falck ... Zweite ... vermehrte Auflage","ALLEN, Carl Ferdinand."
54828,Kjøbenhavn,1864,,"De tre nordiske Rigers Historie under Hans, Christiern den Anden, Frederik den Første, Gustav Vasa, Grevefeiden. 1497-1536. [Bd. 5. edited by C. Bruun and F. Krarup.]","ALLEN, Carl Ferdinand."
56580,Baltimore,1822,Franklin Betts,"A History of the American Revolution ... To which are added, the most important resolutions of the Continental Congress, and many of the most important letters of General Washington","ALLEN, Paul - of Philadelphia"
56757,York,1871,Dodd & Mead,"Last Letters of R. L. Allen. [With a memoir of the author signed: S. O. A., i.e. S. O. Allen.]","ALLEN, Richard Lamb."
56969,London,1829,"I. T. Hinton, Holdworth & Ball",History of the Counties of Surrey and Sussex ... Illustrated by a series of views engraved ... by Nathaniel Whittock,"ALLEN, Thomas - Topographer"
56981,York,1894,Century Co.,Across Asia on a Bicycle: the journey of two American students from Constantinople to Peking,"ALLEN, Thomas Gaskell - and SACHTLEBEN (William Lewis)"
57124,London,1848,Richard Bentley,"A Narrative of the Expedition sent by Her Majestys Government to the River Niger in 1841, under the command of Capt. H. D. Trotter. [With plates.]","ALLEN, William - Captain, R.N., and THOMSON (Thomas Richard Heywood)"
58178,London,1897,Elliot Stock,"Captain Cuellar's Adventures in Connacht & Ulster, A.D. 1588 ... To which is added an introduction and complete translation of Captain Cuellar's Narrative of the Spanish Armada and his adventures in Ireland, by R. Crawford, etc","ALLINGHAM, Hugh."
60280,S. Paulo,1877,,Lições de Historia Patria ... publicadas por J. M. Lisboa. 2a edição,"ALMEIDA E MELLO, Americo Braziliense de."
60798,Londini,1823,,"Praes. De variis reipublicæ Suio-gothicæ regendæ formulis, disquisitio historica, etc. Resp. J. Petersson","ALMQVIST, Johan Magnus."
61361,Mamers,1891,,"[Lucé et ses environs aux XVIIe et XVIIIe siècles. (Par M. V. Alouis, publié par M. Louis Hervé.)]","ALOUIS, Victor."
62084,London,1814,Longman & Co.,"Alpine Sketches, comprised in a short tour through parts of Holland, Flanders, France, Savoy, Switzerland and Germany, during the summer of 1814. By a Member of the University of Oxford [i.e. George Wilson Bridges]",
62125,London,1824,W. Smith,"The Diary of a Traveller over Alps and Appenines; or, Daily minutes of a circuitous excursion. [By Murray Forbes.]",
62129,London,1885,Longmans & Co.,The Maritime Alps and their Seaboard. By the author of “Vera” [i.e. C. L. H. Dempster] ... With illustrations,
63229,Edinburgh,1877,Maclachalan & Stewart,'Alter Ejusdem': being another instalment of lilts and lyrics. By the author of 'Mistura curiosa' [i.e. J. A. Sidey]. With ... pen and ink sketches and occasional music,
64513,México,1891,,[Historia Chichimeca.-Relaciones.],"ALVA IXTLILXUCHITL, Fernando de."
64601,Mexico,1847,,"Proceso de Residencia contra Pedro de Alvarado (y Nuño de Guzman). Ilustrado con estampas, sacadas de los antiguos codices Mexicanos, y notas y noticias biograficas ... por D. José Fernando Ramirez. Lo publica paleografiado del ms. original ... I. L. Rayon. [With a portrait.]","ALVARADO, Pedro de."
64634,Paris,1853,,Histoire du Mexique ... Traduite sur un manuscrit inédit par H. Ternaux-Compans,"ALVARADO TEZOZOMOC, Fernando de."
64701,Porto,1841,,"Tratado breve dos Rios de Guiné do Cabo-Verde, desde o Rio do Sanagá até aos baixos de Sant' Anna ... 1594. Publicado por Diogo Köpke. [With a map.]","ALVARES D'ALMADA, André."
64829,México,1856,,"Itinerarios y derroteros de la República Mexicana, etc","ÁLVAREZ, José Justo - and DURAN (Rafael)"
