Identifier,Place of Publication,Date of Publication,Publisher,Title,Author
1837830,London,1692,,The Jacobite Conventicle. A poem [By Richard Ames],
1838738,Leipzig,1884,,"Capitain Jacobsen's Reise an der Nordwestküste Amerikas 1881-1883 zum Zwecke ethnologischer Sammlungen und Erkundigungen, nebst Beschreibung persönlicher Erlebnisse ... bearbeitet von A. Woldt, etc","JACOBSEN, J. Adrian."
1838739,Kristiania,1887,,"Kaptein Jacobsens Reiser til Nordamerikas Nordvestkyst 1881-83 ... udarbeidet af A. Woldt. Oversat fra Tysk ved J. Utheim, etc. [Illustrated.]","JACOBSEN, J. Adrian."
1838886,Kjøbenhavn,1897,,Den Nordiske Kriigs Krønicke utgifwen af Martin Weibull,"JACOBSEN, Sten."
1840486,Paris,1845,,"Rueil, le château de Richelieu, la Malmaison, avec pièces justificatives","JACQUIN, Jules - and DUESBERG (Joseph)"
1841674,Madras,1863,,"[Qanoon-e-Islan, or the Customs of the Moosulmans of India; comprising a full and exact account of their various rites and ceremonies ... By Jaffur Shurreef. Composed under the direction of, and translated by, G. A. Herklots.]",
1842585,Leipzig,1847,,"Praktische Anleitung zum gründlichen Studium der Erdkunde nach ihrer mathematischen, physikalischen und politischen Bedeutung","JAHN, Gustav Adolph - and VOGEL (Emil Ferdinand)"
1843254,Budán,1870,,Kolozsvár története ... oklevéltárral. (Kolozsvár története világositó rajzai ... kőre metszette Haske F.),"JAKAB, Elek."
1844591,London,1860,,Valentine Duval; an autobiography of the last century [translated from the French by Miss B. Stebbing afterwards Mrs. Batty]. Edited by the author of “Mary Powell” [Miss A. Manning],"JAMERAY DUVAL, Valentin."
1845250,Edinburgh,1783,J. and E. Balfour,"Poetical Remains of James the First, King of Scotland. (A dissertation on the life and writings of James I.-Dissertation on the Scottish music [by the Editor, W. Tytler].)",
1845815,London,1897,J. C. James,"Some Impressions of East and South-East Africa. [With a portrait, and with an obituary notice of the author, signed: S. W. B.]","JAMES, Charles D."
1846047,London,1896,H. Frowde,Letters archaeological and historical relating to the Isle of Wight. By ... E. B. James ... Collected and arranged by his widow (R. B. James). [With a biographical sketch.],"JAMES, Edward Boucher."
1846073,Philadelphia,1823,,"Account of an expedition from Pittsburgh to the Rocky Mountains, performed in the years 1819 and 20 ... under the command of Major Long, T. Say and other gentlemen of the party","JAMES, Edwin - Botanist"
1846217,London,1888,G. Philip & Son,"The Unknown Horn of Africa. An exploration from Berbera to the Leopard river ... With additions by G. J. Thrupp ... The narrative illustrations by Rose Hake, and the drawings of the fauna by K. Keuleman, etc","JAMES, Frank Linsly."
1846218,London,1890,G. Philip & Son,"The Unknown Horn of Africa ... Second edition, containing the narrative portion and notes only. With an obituary notice by J. A. & W. D. James","JAMES, Frank Linsly."
1846361,London,1849,,"An investigation of the circumstances attending the murder of John, Earl of Gowrie and Alexander Ruthven, by order of King James the Sixth of Scotland; with an Examination of the forged Restalrig Letters brought forward to exculpate the King","James, G. P. R. (George Payne Rainsford)"
1846455,London,1852,,"Adrian, or, the Clouds of the Mind: a romance","James, G. P. R. (George Payne Rainsford)"
1847327,Firenze,1875,,All' Arciconsolo e al soci della R. Accademia della Crusca. Versi ... Tradⁿe di A. Severini,"JAMES, John Kingston - Sir, Bart"
1848080,London,1897,Kegan Paul & Co.,The Wolseley Series. Edited by Capt. W. H. James. Vol. 1-7,"JAMES, Walter Haweis."
1848119,London,1819,,"Warden refuted; being a defence of the British navy against the misrepresentations of a work ... entitled, “A statistical ... account of the United States of North America,” by D. B. Warden, ... in a letter to the author of that work","JAMES, William - Historical Writer"
1848459,London,1890,R. H. Porter,"Story of the Rear Column of the Emin Pasha Relief Expedition ... Edited by Mrs. J. S. Jameson. [With a preface by Andrew Jameson.] With ... map and illustrations, etc. (Natural-History appendix. The Ornithological work of J. S. Jameson. By R. B. Sharpe. List of Coleoptera collected by Mr. Jameson on the Aruwimi. By H. W. Bates. Lepidptera Rhopalocera by F. D. Godman and O. Salvin. Lepidoptera Heterocera by H. Druce.)","JAMESON, James S."
1850529,St. Helena,1840,,[The Exhumation of the Remains of Napoleon Bonaparte.] MS. notes [by J. Lockwood],
1850547,London,1864,,"Janita's Cross. By the Author of “St. Olave's” [Eliza Tabor, afterwards Stephenson.]",
1850759,Paris,1853,,"Slaves du sud, ou le peuple serbe avec les Croates et les Bulgares, aperçu de leur vie historique, politique et sociale","JANKOVIĆ, Milovan - and GRUJIĆ (Jevrem)"
1851057,Freiburg im Breisgau,1893,,Die Vereinigten Staaten Nordamerikas in der Gegenwart ... [Translated and edited] von ... W. Kämpfe. (Brief F. Le Plays an C. Jannet.),"JANNET, Claudio."
1851437,Wiesbaden,1897,,"Schleswig-Holsteins Befreiung. Herausgegeben aus dem Nachlass des Professors Karl Jansen und ergänzt von Karl Samwer, etc","JANSEN, Carl - of Kiel"
1852138,Middelburg,1856,,"Bijdragen tot de Oudheidkunde en Geschiedenis, inzonderheid van Zeeuwsch-Vlaanderen","JANSSEN, Hendrik Quirinus - and DALE (J. H. van)"
1852172,Freiburg im Breisgau,1878,,Geschichte des deutschen Volkes seit dem Ausgang des Mittelalters. Bd. 1-8,"JANSSEN, Johann - Phil. Doct"
1852176,Paris,1887,,L'Allemagne et la réforme ... Traduit de l'allemand sur la quatorzième édition [of Janssen's “Geschichte des deutschen Volks seit dem Ausgang des Mittelalters”]: [Geschichte des Deutschen Volkes seit dem Ausgang des Mittelalters],"JANSSEN, Johann - Phil. Doct"
1852821,Havre,1861,,"Les Chateaux de l'arrondissement du Havre, description historique, archéologique et pittoresque ... faisant suite aux Promenades dans Quatre Chateaux Historiques aux environs du Havre ... Poésie par J. Bigot","JANVRAIN, L. A."
1853692,London,1841,,"Manners and customs of the Japanese, in the nineteenth century; from recent Dutch visitors of Japan, and the German of Dr. P. F. von Siebold. [Edited by Mrs. W. Busk.]",
1854252,London,1879,Hurst and Blackett,"Young Mrs. Jardine. [A novel.] By the author of John Halifax, Gentleman [D. M. Mulock afterwards Craik.]",
1854253,London,1880,Hurst & Blackett,"[Young Mrs. Jardine. [A novel.] By the author of John Halifax, Gentleman [D. M. Mulock afterwards Craik.]]",
1854273,London,1841,[Privately printed],"Remarks upon the Letters of Thomas Winter and the Lord Mounteagle, lately discovered by J. Bruce ... Also upon the evidence of Lord Mounteagle's implication in the Gunpowder Treason, etc. (From the Archaeologia, etc.)","JARDINE, David - Police Magistrate"
1854770,London,1871,,"Diary of an Embassy from King George of Bohemia to King Louis XI. of France, in the year ... 1464. From a contemporary manuscript, literally translated from the original Slavonic [of-Jaroslaw] by A. H. Wratislaw","JAROSLAW - Attaché to an Embassy from Bohemia to France, 1464"
1855207,Honolulu,1872,,"[History of the Hawaiian or Sandwich Islands ..., from the earliest traditionary period to the present time.]","Jarves, James Jackson"
1855791,London,1865,,Sir Jasper's Tenant. By the Author of “Lady Audley's Secret” ... [M. E. Braddon]. Fifth edition,
1856144,Pest,1853,,"A Magyar nemzet napjai a legrégibb idötöl az Arany Bulláig. ... Kiadta ... Toldy F. (Jászay Pál emlékezete, olvasta ... Toldy F.)","JÁSZAY, Pál."
1856769,London,1899,T. F. Unwin,Alpine Memories by Émile Javelle. With a biographical and literary notice by Eugène Rambert. Translated and with an introduction by W. R. Chesson,"JAVELLE, Jean Marie Ferdinand Émile."
1857537,we Lwowie,1849,,Krótho zebrana metoda nauki chronologii i dziejów podług ... A. J. Przełożył z francuzkiego i niektóre objaśnienia dodał S. Zanański,"JAŹWIŃSKI, Antoni."
1857620,London,1673,,The Fatal Jealousie. A Tragedy [in five acts and in verse. By N. Payne],
1858108,York,1882,A. T. B. De Witt,"History of the ... voyage and ... shipwreck of the U.S. steamer “Jeannette,” in the Polar seas, together with a full ... account of the death of Lieutenant De Long, ... and the rescue of Danenhower, Melville, and their heroic companions ... Compiled from authentic records [by H. L. Williams]",
1858319,London,1860,,"The Tommiebeg Shootings; or, a Moor in Scotland. ... With illustrations, by P. Skelton","JEANS, Thomas - Novelist"
1858666,Davos,1899,,Der Anteil Graubündens am Schwabenkrieg. Festschrift zur Calvenfeier. (Geschichtliche Darstellung von C. Jecklin. Berichte und Urkunden zusammengestellt von F. Jecklin.),"JECKLIN, Constanz."
1858667,Chur,1886,,Benedict Fontana und die historische Kritik,"JECKLIN, Constanz."
1858978,London,1896,Simpkin & Marshall,The Early Fiction of Richard Jefferies. Edited by G. Toplis. With a rare portrait: Smaller Collections,"Jefferies, Richard"
1859041,London,1896,Simpkin & Marshall,Jefferies' Land: a history of Swindon and its environs ... Edited with notes by G. Toplis. With map and illustrations: Single Works,"Jefferies, Richard"
1859240,London,1889,Aldine Publishing Co.,"The Shadows of a Great City. A story of our day. [By H. L. Williams.] Founded, under special permission, on the celebrated drama by J. J. ... and L. R. S","JEFFERSON, J. - and SHEWELL (L. R.)"
1859304,London,1895,Sampson Low & Co.,A wheel to Moscow and back. The record of a record cycle ride ... With a preface by ... A. R. Savile,"JEFFERSON, Robert L."
1859383,"Brooklyn, N.Y",1894,Historical Printing Club,"Notes on the State of Virginia ... A reprint of the original edition of 1784; with the additions, corrections, and illustrations added by the author in all subsequent editions; together with notes from other sources, and an introduction. Edited by P. L. Ford: Single Works","Jefferson, Thomas"
1860267,w Lwowie,1819,,"O Polozcze jey dziejach i konstytucyi dzieło ... przez K. Słotwińskiego zpolszczone, ... i przypisami pomnożone","JEKEL, Franz Joseph."
1861480,London,1887,Longmans & Co.,"Papers literary, scientific, &c. ... Edited by Sidney Colvin ... and J. A. Ewing ... With a memoir by R. L. Stevenson","JENKIN, Henry Charles Fleeming."
1861749,Portmadoc,1899,Llewelyn Jenkins,"Bedd Gelert: its facts, fairies, & folk-lore. (Based upon the articles by Mr. William Jones in Y Brython.) ... With translations of poetry by the Rev. H. E. Lewis and an introduction by Principal J. Rhys","JENKINS, David Erwyd."
1862068,London,1876,,"Ginx's Baby. ... Thirty-sixth edition, illustrated by F. Barnard","JENKINS, John Edward."
1862073,London,1879,,Jobson's Enemies. [A tale.] In eight books. (Illustrated by F. Barnard.),"JENKINS, John Edward."
1862126,Auburn,1850,,"United States exploring expeditions. Voyage of the U.S. exploring squadron, commanded by Captain C. Wilkes ... in 1838-42, together with explorations and discoveries made by Admiral D'Urville, Captain Ross, and other Navigators and Travellers; and an account of the expedition to the Dead Sea, under Lieutenant Lynch ... With numerous illustrations","JENKINS, John S."
1862506,London,1898,Hutchinson & Co.,Fiona M'Iver: a romance of the Western Isles,"JENKINSON, Arthur - and (Emily J.)"
1863215,London,1876,,Jennie of “The Prince's.” A Novel. [By B. H. Buxton.],
1863645,London,1877,,"Field Paths and Green Lanes: being country walks, chiefly in Surrey and Sussex. ... Illustrated with sketches by J. W. Whymper","JENNINGS, Louis John."
1863652,London,1880,John Murray,Rambles among the Hills in the Peak of Derbyshire and the South Downs ... With illustrations [by A. H. H. Murray],"JENNINGS, Louis John."
1864717,Berlin,1890,,"Der Schwarzwald ... Mit Illustrationen von W. Hasemann, etc","JENSEN, Wilhelm Hermann."
1865015,Leipzig,1890,,"Emin Pascha und die Meuterei in Aequatoria ... Aus dem Englischen von H. von Wobeser, etc","Jephson, A. J. Mounteney (Arthur Jermy Mounteney)"
1865061,London,1881,G. Routledge & Sons,"With the Colours; or, the piping times of peace ... With illustrations by R. Simkin","JEPHSON, Richard Mounteney."
1865063,London,1869,,"Our Life in Japan ... With illustrations from photographs by Lord W. Kerr, etc","JEPHSON, Richard Mounteney - and ELMHIRST (Edward Pennell)"
1865300,London,1895,Tower Publishing Co.,Sibyl Falcon. A study in romantic morals ... Illustrated by H. Piffard,"JEPSON, Edgar Alfred."
1865511,Edinburgh,1878,Andrew Elliot,Essays and Lyrics ... Edited by ... Charles Jerdan. [With a portrait and biographical sketch of the author.],"JERDAN, Samuel Smiles."
1865853,London,1882,W. Ridgway,"The Siege of Berwick, a tragedy [in four acts and in verse] ... Edited by H. E. H. Jerningham","JERNINGHAM, Edward."
1866335,Paris,1894,,"Trois Hommes dans un Bateau ... Traduit de l'anglais par Henri Bouissou. Illustré de 20 gravures, etc: Single Works","Jerome, Jerome K. (Jerome Klapka)"
1866350,London,1895,Chatto & Windus,The Prude's Progress. A comedy in three acts. [By J. K. Jerome and Eden Phillpotts.]: Works written in collaboration,"Jerome, Jerome K. (Jerome Klapka)"
1866711,London,1867,,[The Story of a Feather.]: Single Works,"Jerrold, Douglas William"
1866835,London,1884,W. H. Allen & Co.,At Home in Paris. [Edited by E. D. and S. Jerrold.]: Single Works,"JERROLD, William Blanchard."
1866969,St. Helier],1858,P. Falle,"Chroniques de Jersey, dont l'auteur est inconnu; revues et corrigées sur les manuscrits les plus complets, avec une préface, un essai, un errata, et un appendice, par A. Mourant ... Suivies d'un abrégé historique des îles de Jersey, Guernesey, Auregny, et Serk, par G. S. Syvret: Appendix",
1866989,Jersey,1887,W. Guiton,"The Jubilee Guide to Jersey, in rhyme, by a Modern Troubadour [Patrick O'Carroll]: Appendix",
1867533,Edinburgh,1882,D. Douglas,"[The history and traditions of the land of the Lindsays in Angus and Mearns, with notices of Alyth and Meigle; ... to which is added an appendix, containing ... interesting documents.]","JERVISE, Andrew."
1867536,Edinburgh,1885,D. Douglas,Memorials of Angus and the Mearns. (Second edition.) Re-written ... by ... J. Gammack. [Illustrated with etchings.] L.P,"JERVISE, Andrew."
1868021,Copenhague,1898,,"Copenhague. La capitale du Danemark, etc. [Edited by F. van Jessen. Translated by M. P. Osterby.]","JESSEN, Franz von."
1869858,London,1891,Chapman & Hall,The Christ that is to be. A latter-day romance. [By Joseph C. Rickett.],
1870447,London,1713,"Printed, and are to be sold by J. Morphew",An Hymn to the Redeemer. [By William Goldwin.],
1871049,London,1779,J. Murray,"The Prince of Peace, and other poems. [By E. Cartwright.]",
1873834,London,1877,,A Jewel of a Girl. By the author of “Queenie” [May Crommelin],
1874355,London,1874,,The Stately Homes of England ... Illustrated with ... engravings on wood,"JEWITT, Llewellynn Frederick William - and HALL (Samuel Carter)"
1876770,London,1689,,The Female Prelate: being the history and the life and death of Pope Joan. A tragedy [in five acts and in verse]. Written by a Person of Quality [i.e. Elkanah Settle],
1876811,London,1879,,"Joan the Maid: deliverer of England and France. A story of the fifteenth century. By the author of “Chronicles of the Schönberg-Cotta Family,” etc. [Mrs. E. Charles.]: Appendix",
1876953,Paris,1861,,"Itinéraire descriptif, historique, et archéologique de l'Orient ... accompagné de 11 cartes et de 19 plans","JOANNE, Adolphe Laurent - and ISAMBERT (Emile)"
1877246,Eisenach,1888,,Johann Rothe's Chronik von Thüringen. Bearbeitet und herausgegeben von ... E. Fritsche,
1878522,Montréal,1889,,Histoire de Longueuil et de la famille de Longueuil. Avec gravures et plans,"JODOIN, Alex - and VINCENT (J. L.)"
1878547,Londra,1821,A spese dell’autore,L'Eroina Persiana. Opera dalla tragedia di R. P. Jodrell ... tirata dall'autore. [Translated into Italian by G. Caravita.],"JODRELL, Richard Paul."
1880110,London,1899,"Ward, Lock & Co.",With Nansen in the North: a record of the Fram expedition in 1893-96. ... Translated from the Norwegian by H. L. Brækstad. [With illustrations.],"JOHANSEN, Frederik Hjalmar."
1882514,London,1878,,John-a-Dreams. A tale. [By J. R. Sturgis.],
1886877,London,1792,"Printed for T. Longman, etc.","The Works of Samuel Johnson, LL.D. A new edition ... with an essay on his life and genius by Arthur Murphy: Works","JOHNSON, Samuel - LL.D"
1886881,London,1806,"J. Johnson, etc.","The Works of Samuel Johnson, LL.D. A new edition ... With an essay on his life and genius by Arthur Murphy. [With a portrait. Edited by A. Chalmers.]: Works","JOHNSON, Samuel - LL.D"
1887109,Glasgow,1817,R. Chapman,"A Journey to the Western Islands of Scotland ... With remarks by the Rev. Donald McNicol, etc. [With a portrait.]: Single Works. A Journey to the Western Islands of Scotland","Johnson, Samuel"
1887174,London,1897,,Johnson's Lives of Prior and Congreve. With introduction and notes by F. Rvland: Single Works. The Lives of the English Poets,"JOHNSON, Samuel - LL.D"
1887181,London,1893,,Johnson's Life of Addison. With introduction and notes by F. Ryland: Single Works. The Lives of the English Poets,"JOHNSON, Samuel - LL.D"
1887185,London,1895,,Johnson's Life of Dryden. With introduction and notes by F. Ryland: Single Works. The Lives of the English Poets,"JOHNSON, Samuel - LL.D"
1887195,London,1894,,Johnson's Life of Milton. With introduction and notes by F. Ryland: Single Works. The Lives of the English Poets,"JOHNSON, Samuel - LL.D"
1887208,London,1894,,Johnson's Life of Swift. With introduction and notes by F. Ryland: Single Works. The Lives of the English Poets,"JOHNSON, Samuel - LL.D"
1887400,Oxford,1888,Clarendon Press,"Wit and Wisdom of Samuel Johnson, selected and arranged by G. B. Hill: Selections","JOHNSON, Samuel - LL.D|JOHNSON, Samuel - LL.D"
1888248,London,1877,,"[Dictionary of Geography, etc. New edition, revised to August 1864.]","JOHNSTON, Alexander Keith - the Elder"
1888270,London,1889,E. Stanford,A short Geography of Africa ... Edited by E. G. Ravenstein. Reprinted from the fifth ... edition ... of Keith Johnston's School ... Geography,"JOHNSTON, Alexander Keith - the Younger"
1889397,Edinburgh,1872,,The Historical Geography of the Clans of Scotland. (Map of the Clans of Scotland) [and other diagrams],"JOHNSTON, Thomas Brumby - and ROBERTSON (James Alexander)"
1889398,Edinburgh,1899,W. & A. K. Johnston,"Historical Geography of the Clans of Scotland ... Third edition, edited with a narrative of the Highland campaigns by W. K. Dickson","JOHNSTON, Thomas Brumby - and ROBERTSON (James Alexander)"
1889816,London,1821,,"[Memoirs of the Rebellion in 1745 and 1746; ... containing a narrative of the progress of the Rebellion ... to the battle of Culloden; the characters of the principal persons engaged in it; and ... an account of the sufferings ... experienced by the author ... Translated from a French MS., ... now in the hands of the Publishers.]","JOHNSTONE, James de - Chevalier"
1890173,Paris,1890,,"Londres et les Anglais en 1771. D'après les notes de voyage de MM. Rondeaux de Sétry et de Montbray et d'après l'ouvrage de Grosley, etc","JOIN-LAMBERT, A."
1890613,Budapest,1889,,Utazás egy sirdomb körül. [Travels in Italy.] (12 fametszettel és 4 énynyomattal Vágó Pál rajzai után.): Single Works,"Jókai, Mór"
1890799,London,1819,James Black,"Letters from Palestine, descriptive of a Tour through Galilee and Judæa, with some account of the Dead Sea, and of the present state of Jerusalem. [Letter 21 signed Th. R. J., i.e. T. R. Joliffe.]","JOLIFFE, Thomas R."
1891843,York,1864,,"The Political and Military History of the Campaign of Waterloo: translated from the French of General Baron de Jomini, by Captⁿ S. V. Benet ... Third edition","JOMINI, Antoine Henri de - Baron"
1893100,"Savannah, Ga",1880,Printed for the Author,Hernando De Soto. The adventures encountered and the route pursued by the Adelantado during his march through ... Georgia,"JONES, Charles Colcock - the Younger"
1894328,London,1855,Printed for the Proprietors by McGowan & Co.,"The Lass and the Lady; or, Love's ladder. A tale of thrilling interest. [Completed by Thomas Frost. With plates.]","Jones, Ernest Charles"
1894767,London,1893,Tower Publishing Co.,The Angel of the Revolution: a tale of the coming Terror. ... With illustrations by F. T. Janes,"JONES, George Chetwynd Griffith - afterwards GRIFFITH (George Chetwynd)"
1895618,London,1892,Waterlow and Sons,"Swin, Swale, and Swatchway: or, Cruises down the Thames, the Medway and the Essex rivers. By H. L. Jones ... assisted by C. B. Lockwood. [Illustrated.]","JONES, Henry Lewis."
1896918,"G. J. Parris, steam printer",1886,London,"Sidney Cooper's Comic pantomime, Robinson Crusoe; or, Harlequin Man Friday and the good fairies of the coral cave, etc","JONES, John Wilton."
1897488,Exeter,1875,S. Drayton & Sons,The History of Chudleigh ... Revised ... by W. W. Snell. Second edition,"JONES, Mary - Mrs., of Chudleigh"
1898896,Brecknock,1898,E. Davies,"A History of the County of Brecknock, etc. [Reprinted from the edition of 1805-09. With biography of the author by G. E. F. Morgan.]","JONES, Theophilus - Deputy Registrar of the Archdeaconry of Brecon"
1900217,Haarlem,1807,,"Tweede Reize naar de Middellandsche Zee, gedaan in de Jaren 1783-85 ... onder bevel van den Kapitein C. van Gennip, etc","JONG, Cornelis de - Entomologist"
1900412,'s Gravenhage,1873,,"Nova Zembla ... De voorwerpen door de Nederlandsche Zeevaarders [J. van Heemskerck, W. Barentsz and J. C. Rijp] na hunne overwintering aldaar in 1597 achtergelaten en in 1871 door Kapitein Carlsen teruggevonden, beschreven en toegelicht. ... Tweede druk","JONGE, Johan Karel Jakob de."
1900414,London,1877,,"Nova Zembla (1596-1597). The Barents Relics recovered in the summer of 1876 by C. L. W. Gardiner ... Described and explained by J. K. J. de J. ... Translated, with a preface, by S. R. van Campen, etc","JONGE, Johan Karel Jakob de."
1900781,London,1875,,"[The works of Ben Jonson. With a biographical memoir, by William Gifford. A new edition.]: Works","JONSON, Ben."
1900791,London,1811,,"The Dramatic Works of B. J., and Beaumont and Fletcher: the first printed from the text, and with the notes of, P. Whalley; the latter, from the text, and with the notes of, ... G. Coleman. [With memoirs, prefaces of former editions, etc.]: Smaller Collections","JONSON, Ben."
1900808,Paris,1863,,"Contemporains de Shakspeare. B. J., traduit par E. Lafond, précédé d'une notice sur la vie et les œuvres de B. J: Smaller Collections","JONSON, Ben."
1901000,London,1783,,"The Sad Shepherd: or, A Tale of Robin Hood, a fragment [edited] with a continuation, notes and an Appendix [by F. G. Waldron]: Single Works","JONSON, Ben."
1901067,1895,1894,,'Brave Translunary Things' from the works in prose and verse of Ben Jonson. Selected by A. B. Grosart: Selections,"Jonson, Ben"
1901488,Tours,1871,,Deux ans dans l'Afrique orientale ... Illustration par E. Bayard,"JONVEAUX, Émile."
1903585,Haarlem,1891,,Historische studiën nagelaten door ... T. Jorissen. [Edited by J. C. Matthes.],"JORISSEN, Thomas Theodoor Hendrik."
1904227,London,1736,,The History of Joseph. A poem. In eight books. By the author of Friendship in Death [Mrs. Elizabeth Rowe],
1904424,Budapest,1894,,"A Cigányokról ... Irta József Főherceg Dr Wlislocki Henrik közremüködésével. Térképpel, etc",
1905471,Lyon,1892,,"Aux Environs de Lyon: préface de M. Coste-Labaume. Édition illustrée de 250 dessins de J. Drevet, etc",
1906438,Bruxelles,1895,,"Dictionnaire encyclopédique de géographie historique du royaume de Belgique. Description de ses neuf provinces et de ses 2,603 communes ... Avec la collaboration pour la partie militaire de M. le Baron El. de Heusch ... Illustrée, etc","JOURDAIN, Alf. - and STALLE (Léopold van)"
1906757,Limoges,1871,,"[J. S.-M. devant le Tribunal de l'Abbaye. ... Mon agonie de trente-huit heures ... Ordre du jour ou salimgondis, etc. (Huitième édition ... corrigée.) [Edited by G. R.]]","JOURGNIAC SAINT-MÉARD, François de."
1907135,London,1888,G. Routledge & Sons,A Journey round the World. With illustrations by C. Marr,
1907138,London,1700,,"A Journey to Hell: or, a visit paid to the Devil: a poem. [By Edward Ward.]",
1908865,London,1847,C. Gilpin,"Joys and Sorrows: where to find, and how to exchange them: comprising Agnes; or, a Word for woman ... and other poems. By the authoress of “Amy of the Peak” [Jane M. Bingham]. [With a frontispiece designed by the authoress.]",
1908904,w Krakowie,1881,,"Wspomnienie ubiegłych lat ... Przyczynek do historyi Spisków w Galicyi, etc. [Edited by H. Zathey.]","JÓZEFCZYK, Andrzej."
1909034,London,1824,T. Green,"An Apology for “Don Juan.” [A satire, in verse. By J. W. Thomas.] Cantos I., II: Anonymous editions of Byron's Don Juan",
1909051,London,1789,,"Don Juan, or the Libertine destroy'd: a tragic pantomical [sic] entertainment in two acts, etc. [Founded on Shadwell's “Libertine.”]",
1909222,London,1823,J. Hearne,"A statistical and commercial history of the Kingdom of Guatemala ... With an account of its conquest by the Spaniards, and a narrative of the principal events down to the present time ... Translated by J. Baily ... With two maps","JUARROS, Domingo."
1910127,Birmingham,1858,Benjamin Hall,"Judith: a Biblical cantata. The words selected from the Holy Scriptures by Henry F. Chorley, etc: Bible. Selections. English",
1910778,Santiago [Chilo.],1897,,Compendio historial del descubrimiento i conquista del reino de Chile. Seguido de dos discursos: Avisos prudenciales de gobierno i guerra. De la Astrolojia judiciaria. [In verse. A reprint of the edition of 1630. Edited by L. Montt. With a life of the author by D. Barros Arana.],"JUFRÉ DEL ÁGUILA, Melchor."
1911309,London,1798,,"Julia; or, Last Follies. [In verse. By William Beloe.]",
1911890,London,1883,Bentley & Son,Juliet. [A novel. By Mrs. Stevenson.],
1913262,Stockholm,1856,,"Loggboks-Anteckningar under en Jordomsegling med Fregatten Eugenie åren 1851-53, gjorda ... af en J.; bearbetade och utgifna af C. M. Ekbohrn",
1913415,London,1878,William Blackwood & Sons,"Junia. A novel. By the author of “Estelle Russell”, etc. [i.e. Mary Allan Olney.]",
1913751,Haarlem,1892,,“Zonnig Afrika.”,"JUNIUS, S. H. - and (Daisy E. A.)"
1913755,London,1851,,"Jack Junk; or, the Tar for all weathers: a romance of the sea. By the author of Richard Parker, etc. [i.e. T. Prest.]","JUNK, Jack."
1913883,Wien,1889,,"Dr. Wilh. Junker's Reisen in Afrika 1875-1886. Nach seinen Tagebüchern unter der Mitwirkung von R. Buchta herausgegeben von dem Reisenden ... Mit ... Original-Illustrationen, etc","JUNKER, Wilhelm."
1913884,London,1890,Chapman & Hall,Travels in Africa during the years 1875-1878 (1879-1883-1882-1886) ... Translated from the German by A. H. Keane ... Illustrated,"JUNKER, Wilhelm."
1914132,London,1887,Pickering & Chatto,[An historical account of the Worshipful Company of Carpenters of the City of London. Compiled chiefly from Records in their possession.],"JUPP, Edward Basil."
1914792,London,1889,T. F. Unwin,English Wayfaring Life in the Middle Ages-XIV. century ... Translated from the French by Lucy T. Smith ... Illustrated,"JUSSERAND, Jean Adrien Antoine Jules."
1914892,London,1880,J. & R. Maxwell,"Just as I am. A novel, by the author of Lady Audley's Secret, etc. [M. E. Braddon.]",
1916239,London,1818,J. J. Stockdale,"Juvenal's tenth and thirteenth Satires, translated by E. L. Swift: Satiræ Selectæ. English","JUVENALIS, Decimus Junius."
1916251,Belfast,1869,C. Aitchison & Co.,"Translations of the First Satire of Juvenal and Johnson's Latin poems. By Rev. J. Henry, A.M: Satiræ Singulæ","JUVENALIS, Decimus Junius."
1916314,London,1791,,"Seventeen Hundred and Ninety-one: a poem, in imitation of the thirteenth Satire of Juvenal. By A. Murphy: Imitations and Parodies","JUVENALIS, Decimus Junius."
1916390,Bridgwater,1837,G. Awbrey,Brent Knoll. A night thought [in verse]. By Juvenis [i.e. J. W. Stephenson?],
1916714,Helsingissä,1895,,"Veneellä poikki Suomenniemen. Seikkailuja Pohjanmaan vesillä ja saloilla kertoeli Arvo K. [i.e. Emil Arvid Korhonen], etc","K., Arvo."
1916830,Kjøbenhavn,1852,,"Danmarks Kamp for Slesvig i Aarene 1848, 49 og 50. Efter nogle Frivilliges Papirer, beskreven af F. K. [i.e. J. F. C. Knudsen.]","K., F."
1916949,London,1871,Printed for private circulation,A Modern Pilgrimage. [A tour in Palestine.] By H. M. M. K[nipe],"K., H. M. M."
1917068,London,1872,,Henry Ancrum. A tale of the last War in New Zealand. By J. H. K. [i.e. J. H. Kirby.],"K., J. H."
1917765,London,1842,William Pickering,"Io triumphe! A song of victory on our glorious entry into Cabul; to which is added, the Massacre of Cabul. [By C. J. Cruttwell.]",
1918158,Stuttgart,1884,,Die Riviera: Wanderziele und Winterasyle der ligurischen Küste von Nizza bis Spezia. Von W. Kaden und H. Nestel,"KADEN, Woldemar."
1921697,London,1814,,"The Mégha Dúta; or, Cloud Messenger; a poem ... Translated into English verse, with notes and illustrations, by H. H. Wilson, etc: Meghadūta. English",
1922832,London,1892,Macmillan & Co.,"Kalm's account of his visit to England on his way to America in 1748. [Extracted from “En Resa til Norra America.”] Translated by Joseph Lucas. With two maps, etc","Kalm, Pehr"
